Line#,Date,"Temperature (MX-TEMP-2 20835814:20835814-1), *C, 20835814","RH (MX-RH-2 20835814:20835814-2), %, 20835814","Dew Point (MX-TEMP-2 20835814:20835814-4), *C, 20835814","Temperature (MX-TEMP-2 20835815:20835815-1), *C, 20835815","RH (MX-RH-2 20835815:20835815-2), %, 20835815","Dew Point (MX-TEMP-2 20835815:20835815-4), *C, 20835815","Temperature (MX-TEMP-2 20835816:20835816-1), *C, 20835816","RH (MX-RH-2 20835816:20835816-2), %, 20835816","Dew Point (MX-TEMP-2 20835816:20835816-4), *C, 20835816","Temperature (MX-TEMP-2 20835817:20835817-1), *C, 20835817","RH (MX-RH-2 20835817:20835817-2), %, 20835817","Dew Point (MX-TEMP-2 20835817:20835817-4), *C, 20835817","Temperature (MX-TEMP-2 20835818:20835818-1), *C, 20835818","RH (MX-RH-2 20835818:20835818-2), %, 20835818","Dew Point (MX-TEMP-2 20835818:20835818-4), *C, 20835818","Temperature (MX-TEMP-2 20835819:20835819-1), *C, 20835819","RH (MX-RH-2 20835819:20835819-2), %, 20835819","Dew Point (MX-TEMP-2 20835819:20835819-4), *C, 20835819","Temperature (MX-TEMP-2 20835820:20835820-1), *C, 20835820","RH (MX-RH-2 20835820:20835820-2), %, 20835820","Dew Point (MX-TEMP-2 20835820:20835820-4), *C, 20835820","Temperature (MX-TEMP-2 20835821:20835821-1), *C, 20835821","RH (MX-RH-2 20835821:20835821-2), %, 20835821","Dew Point (MX-TEMP-2 20835821:20835821-4), *C, 20835821","Temperature (MX-TEMP-2 20835822:20835822-1), *C, 20835822","RH (MX-RH-2 20835822:20835822-2), %, 20835822","Dew Point (MX-TEMP-2 20835822:20835822-4), *C, 20835822","Temperature (MX-TEMP-2 20835823:20835823-1), *C, 20835823","RH (MX-RH-2 20835823:20835823-2), %, 20835823","Dew Point (MX-TEMP-2 20835823:20835823-4), *C, 20835823","Temperature (MX-TEMP-2 20835824:20835824-1), *C, 20835824","RH (MX-RH-2 20835824:20835824-2), %, 20835824","Dew Point (MX-TEMP-2 20835824:20835824-4), *C, 20835824","Temperature (MX-TEMP-2 20835825:20835825-1), *C, 20835825","RH (MX-RH-2 20835825:20835825-2), %, 20835825","Dew Point (MX-TEMP-2 20835825:20835825-4), *C, 20835825","Temperature (MX-TEMP-2 20843228:20843228-1), *C, 20843228","RH (MX-RH-2 20843228:20843228-2), %, 20843228","Dew Point (MX-TEMP-2 20843228:20843228-4), *C, 20843228","Temperature (MX-TEMP-2 20843229:20843229-1), *C, 20843229","RH (MX-RH-2 20843229:20843229-2), %, 20843229","Dew Point (MX-TEMP-2 20843229:20843229-4), *C, 20843229","Temperature (MX-TEMP-2 20843230:20843230-1), *C, 20843230","RH (MX-RH-2 20843230:20843230-2), %, 20843230","Dew Point (MX-TEMP-2 20843230:20843230-4), *C, 20843230","Temperature (MX-TEMP-2 20843231:20843231-1), *C, 20843231","RH (MX-RH-2 20843231:20843231-2), %, 20843231","Dew Point (MX-TEMP-2 20843231:20843231-4), *C, 20843231","Temperature (MX-TEMP-2 20843233:20843233-1), *C, 20843233","RH (MX-RH-2 20843233:20843233-2), %, 20843233","Dew Point (MX-TEMP-2 20843233:20843233-4), *C, 20843233","Temperature (MX-TEMP-2 20843235:20843235-1), *C, 20843235","RH (MX-RH-2 20843235:20843235-2), %, 20843235","Dew Point (MX-TEMP-2 20843235:20843235-4), *C, 20843235","Temperature (MX-TEMP-2 20843236:20843236-1), *C, 20843236","RH (MX-RH-2 20843236:20843236-2), %, 20843236","Dew Point (MX-TEMP-2 20843236:20843236-4), *C, 20843236","Temperature (MX-TEMP-2 20843238:20843238-1), *C, 20843238","RH (MX-RH-2 20843238:20843238-2), %, 20843238","Dew Point (MX-TEMP-2 20843238:20843238-4), *C, 20843238","Temperature (MX-TEMP-2 20843239:20843239-1), *C, 20843239","RH (MX-RH-2 20843239:20843239-2), %, 20843239","Dew Point (MX-TEMP-2 20843239:20843239-4), *C, 20843239"
51,05/14/20 15:20:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.99,36.01,7.14,,,,,,,,,,,,
52,05/14/20 15:21:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.80,33.21,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,05/14/20 15:22:40,,,,,,,,,,23.11,29.45,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,05/14/20 15:22:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.97,30.26,4.61,,,,,,,,,
55,05/14/20 15:23:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.27,29.34,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,05/14/20 15:23:41,,,,,,,,,,,,,23.16,29.72,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,05/14/20 15:24:35,,,,,,,,,,,,,,,,,,,23.26,29.41,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,05/14/20 15:26:27,,,,,,,,,,,,,,,,,,,,,,,,,23.30,28.87,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,05/14/20 15:27:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.23,28.75,4.10,,,,,,,,,,,,,,,
60,05/14/20 15:28:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.22,28.77,4.10,,,,,,,,,,,,,,,,,,
61,05/14/20 15:29:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.25,28.83,4.16,,,,,,,,,,,,,,,,,,,,,
62,05/14/20 15:30:01,,,,23.25,29.62,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,05/14/20 15:31:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.25,28.65,4.07
64,05/14/20 15:36:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.09,29.33,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,05/14/20 15:36:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.15,29.59,4.45,,,,,,,,,,,,,,,,,,,,,,,,
66,05/14/20 15:36:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.28,27.71,3.62,,,,,,
67,05/14/20 15:37:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.22,28.86,4.15,,,
68,05/14/20 15:37:59,,,,,,,,,,,,,,,,,,,,,,23.10,29.37,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,05/14/20 15:39:05,3.47,60.10,-3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,05/14/20 15:40:00,,,,,,,,,,,,,,,,23.14,29.35,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,05/14/20 15:40:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.18,28.91,4.14,,,,,,,,,,,,
72,05/14/20 15:41:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.15,29.65,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,05/14/20 15:42:40,,,,,,,,,,23.08,29.31,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,05/14/20 15:42:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.30,29.20,4.38,,,,,,,,,
75,05/14/20 15:43:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.18,29.12,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,05/14/20 15:43:41,,,,,,,,,,,,,23.10,29.54,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,05/14/20 15:44:35,,,,,,,,,,,,,,,,,,,23.20,29.28,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,05/14/20 15:46:27,,,,,,,,,,,,,,,,,,,,,,,,,23.20,29.28,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,05/14/20 15:47:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.12,29.07,4.16,,,,,,,,,,,,,,,
80,05/14/20 15:48:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.15,29.05,4.18,,,,,,,,,,,,,,,,,,
81,05/14/20 15:49:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.18,29.02,4.20,,,,,,,,,,,,,,,,,,,,,
82,05/14/20 15:50:01,,,,23.13,29.61,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,05/14/20 15:51:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.16,28.81,4.07
84,05/14/20 15:56:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.06,29.25,4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,05/14/20 15:56:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.06,29.48,4.31,,,,,,,,,,,,,,,,,,,,,,,,
86,05/14/20 15:56:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.11,27.75,3.49,,,,,,
87,05/14/20 15:57:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.10,30.39,4.78,,,
88,05/14/20 15:57:59,,,,,,,,,,,,,,,,,,,,,,23.06,29.48,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,05/14/20 15:59:05,3.38,62.40,-3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,05/14/20 16:00:00,,,,,,,,,,,,,,,,23.08,29.37,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,05/14/20 16:00:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.97,29.53,4.26,,,,,,,,,,,,
92,05/14/20 16:01:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,29.97,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,05/14/20 16:02:40,,,,,,,,,,23.01,29.35,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,05/14/20 16:02:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,29.20,4.13,,,,,,,,,
95,05/14/20 16:03:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.06,28.94,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,05/14/20 16:03:41,,,,,,,,,,,,,23.05,29.61,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,05/14/20 16:04:35,,,,,,,,,,,,,,,,,,,23.10,29.34,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,05/14/20 16:06:27,,,,,,,,,,,,,,,,,,,,,,,,,22.99,29.70,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,05/14/20 16:07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.94,29.58,4.25,,,,,,,,,,,,,,,
100,05/14/20 16:08:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.94,29.66,4.29,,,,,,,,,,,,,,,,,,
101,05/14/20 16:09:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.01,29.66,4.36,,,,,,,,,,,,,,,,,,,,,
102,05/14/20 16:10:01,,,,23.02,29.71,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,05/14/20 16:11:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.95,29.31,4.14
104,05/14/20 16:16:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.96,29.27,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,05/14/20 16:16:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.99,29.62,4.32,,,,,,,,,,,,,,,,,,,,,,,,
106,05/14/20 16:16:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,28.06,3.56,,,,,,
107,05/14/20 16:17:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.95,29.13,4.05,,,
108,05/14/20 16:17:59,,,,,,,,,,,,,,,,,,,,,,22.96,29.40,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,05/14/20 16:19:05,3.36,65.83,-2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,05/14/20 16:20:00,,,,,,,,,,,,,,,,22.94,29.25,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,05/14/20 16:20:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.83,29.95,4.34,,,,,,,,,,,,
112,05/14/20 16:21:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.82,30.03,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,05/14/20 16:22:40,,,,,,,,,,22.95,29.36,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,05/14/20 16:22:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.81,30.00,4.34,,,,,,,,,
115,05/14/20 16:23:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.88,29.76,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,05/14/20 16:23:41,,,,,,,,,,,,,22.95,29.63,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
